# Downloaded from finance.yahoo.com
Date,Open,High,Low,Close,Volume,Adj Close
2010-10-20,395.12,395.12,395.12,395.12,000,395.12
2010-10-19,392.593,392.593,392.593,392.593,000,392.593
2010-10-18,397.16,397.16,397.16,397.16,000,397.16
2010-10-15,396.585,396.585,396.585,396.585,000,396.585
2010-10-14,397.235,397.235,397.235,397.235,000,397.235
2010-10-13,395.545,395.545,395.545,395.545,000,395.545
2010-10-12,387.347,387.347,387.347,387.347,000,387.347
2010-10-11,389.298,389.298,389.298,389.298,000,389.298
2010-10-08,389.31,389.31,389.31,389.31,000,389.31
2010-10-07,386.288,386.288,386.288,386.288,000,386.288
2010-10-06,388.063,388.063,388.063,388.063,000,388.063
2010-10-05,384.726,384.726,384.726,384.726,000,384.726
2010-10-04,380.378,380.378,380.378,380.378,000,380.378
2010-10-01,382.723,382.723,382.723,382.723,000,382.723
2010-09-30,381.433,381.433,381.433,381.433,000,381.433
2010-09-29,381.25,381.25,381.25,381.25,000,381.25
2010-09-28,378.985,378.985,378.985,378.985,000,378.985
2010-09-27,379.944,379.944,379.944,379.944,000,379.944
2010-09-24,378.805,378.805,378.805,378.805,000,378.805
2010-09-23,376.863,376.863,376.863,376.863,000,376.863
2010-09-22,375.985,375.985,375.985,375.985,000,375.985
2010-09-21,381.494,381.494,381.494,381.494,000,381.494
2010-09-20,378.355,378.355,378.355,378.355,000,378.355
2010-09-17,375.821,375.821,375.821,375.821,000,375.821
2010-09-16,375.121,375.121,375.121,375.121,000,375.121
2010-09-15,374.661,374.661,374.661,374.661,000,374.661
2010-09-14,375.928,375.928,375.928,375.928,000,375.928
2010-09-13,377.106,377.106,377.106,377.106,000,377.106
2010-09-10,372.38,372.38,372.38,372.38,000,372.38
2010-09-09,371.396,371.396,371.396,371.396,000,371.396
2010-09-08,368.28,368.28,368.28,368.28,000,368.28
2010-09-07,365.864,365.864,365.864,365.864,000,365.864
2010-09-06,369.638,369.638,369.638,369.638,000,369.638
2010-09-03,368.682,368.682,368.682,368.682,000,368.682
2010-09-02,363.223,363.223,363.223,363.223,000,363.223
2010-09-01,364.523,364.523,364.523,364.523,000,364.523
2010-08-31,352.659,352.659,352.659,352.659,000,352.659
2010-08-30,352.399,352.399,352.399,352.399,000,352.399
2010-08-27,350.499,350.499,350.499,350.499,000,350.499
2010-08-26,347.416,347.416,347.416,347.416,000,347.416
2010-08-25,343.84,343.84,343.84,343.84,000,343.84
2010-08-24,347.145,347.145,347.145,347.145,000,347.145
2010-08-23,356.141,356.141,356.141,356.141,000,356.141
2010-08-20,354.798,354.798,354.798,354.798,000,354.798
2010-08-19,358.431,358.431,358.431,358.431,000,358.431
2010-08-18,366.461,366.461,366.461,366.461,000,366.461
2010-08-17,367.296,367.296,367.296,367.296,000,367.296
2010-08-16,357.484,357.484,357.484,357.484,000,357.484
2010-08-13,357.457,357.457,357.457,357.457,000,357.457
2010-08-12,356.489,356.489,356.489,356.489,000,356.489
2010-08-11,358.977,358.977,358.977,358.977,000,358.977
2010-08-10,367.533,367.533,367.533,367.533,000,367.533
2010-08-09,373.078,373.078,373.078,373.078,000,373.078
2010-08-06,374.139,374.139,374.139,374.139,000,374.139
2010-08-05,374.328,374.328,374.328,374.328,000,374.328
2010-08-04,373.189,373.189,373.189,373.189,000,373.189
2010-08-03,369.451,369.451,369.451,369.451,000,369.451
2010-08-02,369.649,369.649,369.649,369.649,000,369.649
2010-07-30,358.406,358.406,358.406,358.406,000,358.406
2010-07-29,361.969,361.969,361.969,361.969,000,361.969
2010-07-28,364.811,364.811,364.811,364.811,000,364.811
2010-07-27,365.201,365.201,365.201,365.201,000,365.201
2010-07-26,366.256,366.256,366.256,366.256,000,366.256
2010-07-23,360.92,360.92,360.92,360.92,000,360.92
2010-07-22,359.771,359.771,359.771,359.771,000,359.771
2010-07-21,351.062,351.062,351.062,351.062,000,351.062
2010-07-20,344.46,344.46,344.46,344.46,000,344.46
2010-07-19,346.694,346.694,346.694,346.694,000,346.694
2010-07-16,346.393,346.393,346.393,346.393,000,346.393
2010-07-15,348.609,348.609,348.609,348.609,000,348.609
2010-07-14,354.016,354.016,354.016,354.016,000,354.016
2010-07-13,357.194,357.194,357.194,357.194,000,357.194
2010-07-12,350.745,350.745,350.745,350.745,000,350.745
2010-07-09,348.328,348.328,348.328,348.328,000,348.328
2010-07-08,344.728,344.728,344.728,344.728,000,344.728
2010-07-07,343.151,343.151,343.151,343.151,000,343.151
2010-07-06,336.741,336.741,336.741,336.741,000,336.741
2010-07-05,323.636,323.636,323.636,323.636,000,323.636
2010-07-02,326.407,326.407,326.407,326.407,000,326.407
2010-07-01,317.89,317.89,317.89,317.89,000,317.89
2010-06-30,328.122,328.122,328.122,328.122,000,328.122
2010-06-29,326.681,326.681,326.681,326.681,000,326.681
2010-06-28,344.886,344.886,344.886,344.886,000,344.886
2010-06-25,351.097,351.097,351.097,351.097,000,351.097
2010-06-24,351.097,351.097,351.097,351.097,000,351.097
2010-06-23,358.634,358.634,358.634,358.634,000,358.634
2010-06-22,363.637,363.637,363.637,363.637,000,363.637
2010-06-21,369.236,369.236,369.236,369.236,000,369.236
2010-06-18,361.864,361.864,361.864,361.864,000,361.864
2010-06-17,361.326,361.326,361.326,361.326,000,361.326
2010-06-16,361.599,361.599,361.599,361.599,000,361.599
2010-06-15,365.311,365.311,365.311,365.311,000,365.311
2010-06-14,364.138,364.138,364.138,364.138,000,364.138
2010-06-11,354.827,354.827,354.827,354.827,000,354.827
2010-06-10,352.951,352.951,352.951,352.951,000,352.951
2010-06-09,348.195,348.195,348.195,348.195,000,348.195
2010-06-08,339.488,339.488,339.488,339.488,000,339.488
2010-06-07,344.358,344.358,344.358,344.358,000,344.358
2010-06-04,348.432,348.432,348.432,348.432,000,348.432
2010-06-03,354.549,354.549,354.549,354.549,000,354.549
2010-06-02,346.71,346.71,346.71,346.71,000,346.71
2010-06-01,344.307,344.307,344.307,344.307,000,344.307
2010-05-31,344.234,344.234,344.234,344.234,000,344.234
2010-05-28,349.959,349.959,349.959,349.959,000,349.959
2010-05-27,354.149,354.149,354.149,354.149,000,354.149
2010-05-26,347.249,347.249,347.249,347.249,000,347.249
2010-05-25,331.766,331.766,331.766,331.766,000,331.766
2010-05-21,344.198,344.198,344.198,344.198,000,344.198
2010-05-20,338.937,338.937,338.937,338.937,000,338.937
2010-05-19,349.386,349.386,349.386,349.386,000,349.386
2010-05-18,364.564,364.564,364.564,364.564,000,364.564
2010-05-14,362.525,362.525,362.525,362.525,000,362.525
2010-05-12,375.396,375.396,375.396,375.396,000,375.396
2010-05-11,368.516,368.516,368.516,368.516,000,368.516
2010-05-10,371.217,371.217,371.217,371.217,000,371.217
2010-05-07,348.982,348.982,348.982,348.982,000,348.982
2010-05-06,359.285,359.285,359.285,359.285,000,359.285
2010-05-05,367.725,367.725,367.725,367.725,000,367.725
2010-05-04,374.435,374.435,374.435,374.435,000,374.435
2010-05-03,385.354,385.354,385.354,385.354,000,385.354
2010-04-30,383.022,383.022,383.022,383.022,000,383.022
2010-04-29,386.746,386.746,386.746,386.746,000,386.746
2010-04-28,381.132,381.132,381.132,381.132,000,381.132
2010-04-27,388.081,388.081,388.081,388.081,000,388.081
2010-04-26,393.505,393.505,393.505,393.505,000,393.505
2010-04-23,391.61,391.61,391.61,391.61,000,391.61
2010-04-22,387.545,387.545,387.545,387.545,000,387.545
2010-04-21,388.395,388.395,388.395,388.395,000,388.395
2010-04-20,389.368,389.368,389.368,389.368,000,389.368
2010-04-19,381.665,381.665,381.665,381.665,000,381.665
2010-04-16,386.59,386.59,386.59,386.59,000,386.59
2010-04-15,391.629,391.629,391.629,391.629,000,391.629
2010-04-14,388.093,388.093,388.093,388.093,000,388.093
2010-04-13,382.495,382.495,382.495,382.495,000,382.495
2010-04-12,388.185,388.185,388.185,388.185,000,388.185
2010-04-09,387.976,387.976,387.976,387.976,000,387.976
2010-04-08,383.17,383.17,383.17,383.17,000,383.17
2010-04-07,384.745,384.745,384.745,384.745,000,384.745
2010-04-06,385.123,385.123,385.123,385.123,000,385.123
2010-03-31,376.698,376.698,376.698,376.698,000,376.698
2010-03-30,372.649,372.649,372.649,372.649,000,372.649
2010-03-29,373.794,373.794,373.794,373.794,000,373.794
2010-03-26,373.053,373.053,373.053,373.053,000,373.053
2010-03-25,376.421,376.421,376.421,376.421,000,376.421
2010-03-24,373.722,373.722,373.722,373.722,000,373.722
2010-03-23,375.048,375.048,375.048,375.048,000,375.048
2010-03-22,368.96,368.96,368.96,368.96,000,368.96
2010-03-19,368.477,368.477,368.477,368.477,000,368.477
2010-03-18,369.465,369.465,369.465,369.465,000,369.465
2010-03-17,372.275,372.275,372.275,372.275,000,372.275
2010-03-16,370.427,370.427,370.427,370.427,000,370.427
2010-03-15,365.29,365.29,365.29,365.29,000,365.29
2010-03-12,370.904,370.904,370.904,370.904,000,370.904
2010-03-11,369.749,369.749,369.749,369.749,000,369.749
2010-03-10,373.105,373.105,373.105,373.105,000,373.105
2010-03-09,367.906,367.906,367.906,367.906,000,367.906
2010-03-08,368.441,368.441,368.441,368.441,000,368.441
2010-03-05,369.815,369.815,369.815,369.815,000,369.815
2010-03-04,363.131,363.131,363.131,363.131,000,363.131
2010-03-03,363.251,363.251,363.251,363.251,000,363.251
2010-03-02,360.826,360.826,360.826,360.826,000,360.826
2010-03-01,359.87,359.87,359.87,359.87,000,359.87
2010-02-26,350.415,350.415,350.415,350.415,000,350.415
2010-02-25,344.216,344.216,344.216,344.216,000,344.216
2010-02-24,352.195,352.195,352.195,352.195,000,352.195
2010-02-23,351.774,351.774,351.774,351.774,000,351.774
2010-02-22,359.678,359.678,359.678,359.678,000,359.678
2010-02-19,357.24,357.24,357.24,357.24,000,357.24
2010-02-18,353.182,353.182,353.182,353.182,000,353.182
2010-02-17,350.493,350.493,350.493,350.493,000,350.493
2010-02-16,348.254,348.254,348.254,348.254,000,348.254
2010-02-15,340.19,340.19,340.19,340.19,000,340.19
2010-02-12,342.795,342.795,342.795,342.795,000,342.795
2010-02-11,347.518,347.518,347.518,347.518,000,347.518
2010-02-10,344.50,344.50,344.50,344.50,000,344.50
2010-02-09,351.545,351.545,351.545,351.545,000,351.545
2010-02-08,347.601,347.601,347.601,347.601,000,347.601
2010-02-05,351.266,351.266,351.266,351.266,000,351.266
2010-02-04,357.791,357.791,357.791,357.791,000,357.791
2010-02-03,368.649,368.649,368.649,368.649,000,368.649
2010-02-02,369.64,369.64,369.64,369.64,000,369.64
2010-02-01,363.892,363.892,363.892,363.892,000,363.892
